"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2015', 'Quantity')","('Mar 2015', 'FOB (Baht)')","('Jan - Mar 2015', 'Quantity')","('Jan - Mar 2015', 'FOB (Baht)')"
AU,AUSTRALIA,500,89500,129500,6240026
BD,BANGLADESH,391000,16451792,1666000,71359117
KH,CAMBODIA,1760,134964,2640,204201
CN,CHINA,2776000,136406836,13855400,657542013
IN,INDIA,907025,41893473,6590025,277081774
ID,INDONESIA,15475,2162702,375500,19241582
KE,KENYA,102000,4706983,204000,9421590
KR,"KOREA,REPUBLIC OF",0,0,200,7776
LA,LAO PDR,14,11102,70,114221
MY,MALAYSIA,19000,931920,37000,1793629
PK,PAKISTAN,119000,5159239,544000,23611097
LK,SRI LANKA,7936,455493,194936,9570570
TW,"TAIWAN, PROVINCE OF CHINA",0,0,24000,1035269
VN,VIETNAM,107000,5554882,543000,26658896
SUM,SUM,4446710,213958886,24166271,1103881761
