"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2023', 'Quantity')","('Feb 2023', 'FOB (Baht)')","('Jan - Feb 2023', 'Quantity')","('Jan - Feb 2023', 'FOB (Baht)')"
BD,BANGLADESH,0,0,12000,455560
CN,CHINA,1076649,5361493,1814074,9694897
HK,HONG KONG,0,0,15,9000
IN,INDIA,96500,2620141,273900,8903162
JP,JAPAN,0,0,844,15019
MY,MALAYSIA,192000,8327327,517200,23047637
MM,MYANMAR,0,0,97,17043
TW,"TAIWAN, PROVINCE OF CHINA",25823,117962,25823,117962
VN,VIETNAM,25900,981374,25900,981374
SUM,SUM,1416872,17408297,2669853,43241654
