"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2020', 'Quantity')","('Apr 2020', 'CIF (Baht)')","('Jan - Apr 2020', 'Quantity')","('Jan - Apr 2020', 'CIF (Baht)')"
CN,CHINA,43080,1802502,144175,6826634
FR,FRANCE,0,0,11000,1643057
HK,HONG KONG,0,0,5,5339
IT,ITALY,11,5478,19262,3191999
JP,JAPAN,0,0,50220,667398
KR,"KOREA,REPUBLIC OF",900,50773,24900,1775609
MY,MALAYSIA,0,0,1000,65898
NL,NETHERLANDS,57,52554,57,52554
SG,SINGAPORE,0,0,11,10785
AE,UNITED ARAB EMIRATES,3900,1356659,3900,1356659
GB,UNITED KINGDOM,0,0,12,9027
SUM,SUM,47948,3267966,254542,15604959
