"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2023', 'Quantity')","('Mar 2023', 'CIF (Baht)')","('Jan - Mar 2023', 'Quantity')","('Jan - Mar 2023', 'CIF (Baht)')"
CN,CHINA,10500,471067,92100,4617459
ID,INDONESIA,53,14127,53,14127
JP,JAPAN,11000,2452695,11652,2601424
KR,"KOREA,REPUBLIC OF",0,0,13,7266
MY,MALAYSIA,75,14106,75,14106
SA,SAUDI ARABIA,0,0,346500,11940311
SG,SINGAPORE,0,0,11000,465829
AE,UNITED ARAB EMIRATES,0,0,98800,4343248
US,UNITED STATES,0,0,122375,4532205
SUM,SUM,21628,2951995,682568,28535975
